ticket_id,customer_id,order_id,category,channel,status,created_date,ticket_body
1,7,302,Order Issue,Email,In Progress,2024-07-26,"My order #302 from Smith Group never showed up, the app says delivered but nothing arrived. This is Donald Reid again, third time this month with Smith Group."
2,7,2165,Order Issue,Email,In Progress,2024-07-11,"Order #2165 arrived with the wrong items entirely, we ordered from Thomas-Williamson and got someone else's bag. This is Donald Reid again, third time this month with Thomas-Williamson."
3,7,2353,Late Delivery,Chat,Resolved,2024-02-15,"Still waiting on order #2353, tracking hasn't updated in 40 minutes. This is Donald Reid again, third time this month with Jensen-Watkins."
4,7,1475,Missing Items,Email,Resolved,2025-05-15,"Two items missing from order #1475, Whitaker-Paul forgot the side dish again. This is Donald Reid again, third time this month with Whitaker-Paul."
5,7,333,Late Delivery,Phone,In Progress,2024-03-31,"Order #333 from Howell Group took over 90 minutes, way past the estimate shown at checkout. This is Donald Reid again, third time this month with Howell Group."
6,12,335,Payment Issue,Chat,Open,2025-09-04,"Hi, this is Kristin Cohen. I was charged twice for order #335. Please refund the duplicate charge. You can reach me at 881-252-0566 or shawn02@yahoo.com."
7,13,777,Courier Behavior,Phone,Resolved,2024-06-16,"Courier on order #777 was great, arrived early and handled the bag carefully, wanted to say thanks."
8,90,1427,Courier Behavior,Email,Resolved,2025-07-07,"Courier on order #1427 was great, arrived early and handled the bag carefully, wanted to say thanks."
9,216,609,Late Delivery,Email,Resolved,2024-12-21,"Still waiting on order #609, tracking hasn't updated in 40 minutes."
10,349,2296,Food Quality,Email,In Progress,2025-01-16,"The food in order #2296 from Meyer-Carrillo was undercooked, wanted to flag it for quality review."
11,293,683,General Feedback,Phone,Open,2025-05-21,"Just wanted to say the Guzman, Brown and Larsen order #683 experience was smooth end to end, great job."
12,195,2396,Food Quality,Phone,Open,2025-09-08,"Order #2396 from Williams LLC was excellent, best meal we've had delivered in months."
13,113,1696,Payment Issue,Phone,In Progress,2025-04-22,"I was charged for order #1696 but the app still shows it as failed, please check my payment method."
14,117,630,General Feedback,Chat,In Progress,2025-06-02,"Suggestion: it would help to have a live courier map for order #630, would have eased the wait."
15,333,740,Late Delivery,Email,Resolved,2024-06-12,"Still waiting on order #740, tracking hasn't updated in 40 minutes."
16,32,1142,Late Delivery,Email,In Progress,2024-03-24,"Order #1142 from Lang PLC took over 90 minutes, way past the estimate shown at checkout."
17,373,1961,Food Quality,Email,Resolved,2024-02-12,"The food in order #1961 from Rodriguez, James and Frank was undercooked, wanted to flag it for quality review."
18,204,1630,Missing Items,Phone,Resolved,2024-06-17,"Order #1630 from Jackson, Walters and Michael was missing the drink we paid for. Can this be refunded?"
19,261,2494,Refund Request,Phone,Open,2024-11-29,"Please refund order #2494, I was charged twice for the same Jensen-Watkins order."
20,228,281,Courier Behavior,Email,Resolved,2025-02-06,"Courier on order #281 was great, arrived early and handled the bag carefully, wanted to say thanks."
21,313,1363,Refund Request,Email,In Progress,2024-04-18,"Please refund order #1363, I was charged twice for the same Howell Group order."
22,452,2034,Refund Request,Chat,Resolved,2024-07-11,"Please refund order #2034, I was charged twice for the same Howell Group order."
23,300,569,Order Issue,Phone,Open,2024-03-14,"Order #569 arrived with the wrong items entirely, we ordered from Rojas-Tanner and got someone else's bag."
24,476,853,Payment Issue,Phone,In Progress,2024-08-02,"I was charged for order #853 but the app still shows it as failed, please check my payment method."
25,76,994,Missing Items,Chat,Open,2024-02-01,"Order #994 from Kelly, Harris and Pruitt was missing the drink we paid for. Can this be refunded?"
26,243,1361,Payment Issue,Chat,Open,2024-03-14,"I was charged for order #1361 but the app still shows it as failed, please check my payment method."
27,490,591,Missing Items,Phone,Open,2025-03-08,"Two items missing from order #591, Ellis, Parks and Jimenez forgot the side dish again."
28,38,513,Courier Behavior,Chat,Resolved,2025-09-03,"Courier on order #513 was great, arrived early and handled the bag carefully, wanted to say thanks."
29,339,1984,Payment Issue,Phone,In Progress,2024-08-01,Promo code didn't apply on order #1984 even though it was valid at checkout.
30,309,2269,Payment Issue,Email,Resolved,2025-05-04,Promo code didn't apply on order #2269 even though it was valid at checkout.
31,489,1381,Order Issue,Chat,In Progress,2024-11-23,"My order #1381 from Hill-Mckay never showed up, the app says delivered but nothing arrived."
32,181,2209,Courier Behavior,Phone,Resolved,2025-04-29,Courier for order #2209 left the bag at the wrong door and didn't knock.
